mengyxx,#genre#
澳门莲花,http://45.192.97.170:8880/play/283.m3u8
重温经典,http://45.192.97.170:8880/play/284.m3u8
凤凰资讯,http://45.192.97.170:8880/play/285.m3u8
凤凰香港,http://45.192.97.170:8880/play/286.m3u8
TVB1,http://45.192.97.170:8880/play/287.m3u8
TVBJ1,http://45.192.97.170:8880/play/288.m3u8
翡翠剧集台,http://45.192.97.170:8880/play/289.m3u8
翡翠台,http://45.192.97.170:8880/play/290.m3u8
翡翠台(字幕),http://45.192.97.170:8880/play/291.m3u8
明珠台(字幕),http://45.192.97.170:8880/play/292.m3u8
无线新闻台,http://45.192.97.170:8880/play/293.m3u8
广东珠江,http://45.192.97.170:8880/play/294.m3u8
广东体育,http://45.192.97.170:8880/play/295.m3u8
八度空间,http://45.192.97.170:8880/play/296.m3u8
CH5,http://45.192.97.170:8880/play/297.m3u8
CH8,http://45.192.97.170:8880/play/298.m3u8
CHU,http://45.192.97.170:8880/play/299.m3u8
龙华电影,http://45.192.97.170:8880/play/300.m3u8
龙华经典,http://45.192.97.170:8880/play/301.m3u8
龙华偶像,http://45.192.97.170:8880/play/302.m3u8
龙华日韩,http://45.192.97.170:8880/play/303.m3u8
龙华戏剧,http://45.192.97.170:8880/play/304.m3u8
龙华洋片,http://45.192.97.170:8880/play/305.m3u8
龙华卡通,http://45.192.97.170:8880/play/306.m3u8
金光布袋戏,http://45.192.97.170:8880/play/307.m3u8
华丽翡翠台,http://45.192.97.170:8880/play/308.m3u8
TVB亚洲武侠,http://45.192.97.170:8880/play/309.m3u8
TVB娱乐新闻台,http://45.192.97.170:8880/play/310.m3u8
无线新闻台,http://45.192.97.170:8880/play/311.m3u8
TVB星河,http://45.192.97.170:8880/play/312.m3u8
海峡卫视,http://45.192.97.170:8880/play/313.m3u8
海峡卫视,http://45.192.97.170:8880/play/314.m3u8
TVB星河,http://45.192.97.170:8880/play/315.m3u8
天映新加坡,http://45.192.97.170:8880/play/316.m3u8
天映经典,http://45.192.97.170:8880/play/317.m3u8
华丽翡翠台,http://45.192.97.170:8880/play/318.m3u8
华丽翡翠台(硬字幕),http://45.192.97.170:8880/play/319.m3u8
华丽翡翠台(新加坡),http://45.192.97.170:8880/play/320.m3u8
Astro AOD,http://45.192.97.170:8880/play/321.m3u8
Astro AEC,http://45.192.97.170:8880/play/322.m3u8
Astro QJ,http://45.192.97.170:8880/play/323.m3u8
Astro欢喜台,http://45.192.97.170:8880/play/324.m3u8
爱奇艺,http://45.192.97.170:8880/play/325.m3u8
天映频道,http://45.192.97.170:8880/play/326.m3u8
天映经典,http://45.192.97.170:8880/play/327.m3u8
TVB星河,http://45.192.97.170:8880/play/328.m3u8
千禧经典台,http://45.192.97.170:8880/play/329.m3u8
翡翠台(WebVTT字幕),http://45.192.97.170:8880/play/330.m3u8
明珠台(WebVTT字幕),http://45.192.97.170:8880/play/331.m3u8
TVB Plus(WebVTT字幕),http://45.192.97.170:8880/play/332.m3u8
黄金华剧台(WebVTT字幕),http://45.192.97.170:8880/play/333.m3u8
重温经典,http://45.192.97.170:8880/play/334.m3u8
广州综合,http://45.192.97.170:8880/play/335.m3u8
广州新闻,http://45.192.97.170:8880/play/336.m3u8
广州南国都市,http://45.192.97.170:8880/play/337.m3u8
五星体育,http://45.192.97.170:8880/play/338.m3u8
民视影剧台,http://45.192.97.170:8880/play/339.m3u8
公视戏剧,http://45.192.97.170:8880/play/340.m3u8
采昌影剧台,http://45.192.97.170:8880/play/341.m3u8
靖天映画,http://45.192.97.170:8880/play/342.m3u8
靖天戏剧台,http://45.192.97.170:8880/play/343.m3u8
靖天电影台,http://45.192.97.170:8880/play/344.m3u8
靖洋戏剧台,http://45.192.97.170:8880/play/345.m3u8
影迷数位电影台,http://45.192.97.170:8880/play/346.m3u8
amc电影台,http://45.192.97.170:8880/play/347.m3u8
CinemaWorld,http://45.192.97.170:8880/play/348.m3u8
My Cinema Europe,http://45.192.97.170:8880/play/349.m3u8
经典电影台,http://45.192.97.170:8880/play/350.m3u8
CMusic,http://45.192.97.170:8880/play/351.m3u8
DreamWorks梦工厂动画,http://45.192.97.170:8880/play/352.m3u8
精选动漫台,http://45.192.97.170:8880/play/353.m3u8
金光布袋戏,http://45.192.97.170:8880/play/354.m3u8
TVB Plus,http://45.192.97.170:8880/play/355.m3u8
纬来电影台,http://45.192.97.170:8880/play/356.m3u8
纬来戏剧台,http://45.192.97.170:8880/play/357.m3u8
纬来体育台,http://45.192.97.170:8880/play/358.m3u8
龙祥时代,http://45.192.97.170:8880/play/359.m3u8
东森电影,http://45.192.97.170:8880/play/360.m3u8
东森戏剧,http://45.192.97.170:8880/play/361.m3u8
东森洋片,http://45.192.97.170:8880/play/362.m3u8
